,SBER,IMOEX
21.07.20,0.00453242844172763,0.0031588123135915
22.07.20,-0.00601686532423162,0.00602839453429649
23.07.20,0.00259632024931289,0.0039650720112796
24.07.20,0.00429690868350807,0.0075713653271654
27.07.20,-0.00633630684110642,0.00365723471893986
28.07.20,0.0167931990435237,0.00790183458471194
29.07.20,-0.00471041046562792,-0.0123393020606448
30.07.20,0.0155556670775665,0.00998938271182581
31.07.20,0.0229772092951857,0.00629972947295876
03.08.20,0.00193883906686132,0.0035738476279219
04.08.20,-0.00335126868020375,0.0176366896276798
05.08.20,-0.00176834705674178,-0.00143113204213918
06.08.20,0.0056477382736464,-0.00541870354624052
07.08.20,-0.00569198704021989,-0.00390013860003524
10.08.20,0.0290444277849451,0.0150344494600256
11.08.20,0.0410540759045013,0.0159617358009214
